Bowler,Venue,wickets_taken,runs_conceded,balls_bowled,economy_rate
A Ashish Reddy,Barabati Stadium,1,32,18,10.666666666666666
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,20,18,6.666666666666667
A Ashish Reddy,Eden Gardens,1,15,12,7.5
A Ashish Reddy,M Chinnaswamy Stadium,2,84,47,10.72340425531915
A Ashish Reddy,MA Chidambaram Stadium,1,31,16,11.625
A Ashish Reddy,Rajiv Gandhi International Stadium,9,164,108,9.11111111111111
A Ashish Reddy,Subrata Roy Sahara Stadium,2,32,24,8.0
A Ashish Reddy,Wankhede Stadium,1,11,13,5.0769230769230775
A Badoni,Brabourne Stadium,1,5,6,5.0
A Badoni,Punjab Cricket Association IS Bindra Stadium,0,0,1,0.0
A Badoni,Wankhede Stadium,1,6,6,6.0
A Chandila,M Chinnaswamy Stadium,0,21,24,5.25
A Chandila,MA Chidambaram Stadium,1,16,18,5.333333333333333
A Chandila,Punjab Cricket Association Stadium,1,24,24,6.0
A Chandila,Rajiv Gandhi International Stadium,1,20,24,5.0
A Chandila,Sawai Mansingh Stadium,8,161,144,6.708333333333333
A Choudhary,M Chinnaswamy Stadium,3,57,53,6.452830188679245
A Choudhary,Rajiv Gandhi International Stadium,1,55,24,13.75
A Choudhary,Wankhede Stadium,1,32,24,8.0
A Dananjaya,Wankhede Stadium,0,47,24,11.75
A Flintoff,Kingsmead,0,50,24,12.5
A Flintoff,Newlands,1,44,24,11.0
A Flintoff,St George's Park,1,11,18,3.6666666666666665
A Kumble,Brabourne Stadium,1,18,24,4.5
A Kumble,Dr DY Patil Sports Academy,5,46,45,6.133333333333334
A Kumble,Eden Gardens,1,40,42,5.714285714285714
A Kumble,Feroz Shah Kotla,1,33,24,8.25
A Kumble,Kingsmead,7,72,96,4.5
A Kumble,M Chinnaswamy Stadium,11,355,283,7.5265017667844525
A Kumble,MA Chidambaram Stadium,4,30,48,3.75
A Kumble,New Wanderers Stadium,6,88,84,6.285714285714286
A Kumble,Newlands,5,44,43,6.13953488372093
A Kumble,Punjab Cricket Association Stadium,1,69,48,8.625
A Kumble,Rajiv Gandhi International Stadium,1,33,24,8.25
A Kumble,Sawai Mansingh Stadium,1,60,48,7.5
A Kumble,St George's Park,0,80,72,6.666666666666667
A Kumble,SuperSport Park,4,63,60,6.3
A Kumble,Vidarbha Cricket Association Stadium,1,27,24,6.75
A Mishra,Arun Jaitley Stadium,18,309,264,7.0227272727272725
A Mishra,Barabati Stadium,2,59,60,5.9
A Mishra,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,53,54,5.888888888888889
A Mishra,Brabourne Stadium,0,71,42,10.142857142857142
A Mishra,Buffalo Park,0,20,24,5.0
A Mishra,Dr DY Patil Sports Academy,2,26,24,6.5
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,134,120,6.7
A Mishra,Dubai International Cricket Stadium,0,115,72,9.583333333333334
A Mishra,Eden Gardens,4,168,138,7.304347826086956
A Mishra,Feroz Shah Kotla,41,780,648,7.222222222222222
A Mishra,Green Park,1,27,12,13.5
A Mishra,Himachal Pradesh Cricket Association Stadium,4,9,24,2.25
A Mishra,Kingsmead,0,57,42,8.142857142857142
A Mishra,M Chinnaswamy Stadium,5,137,102,8.058823529411764
A Mishra,M.Chinnaswamy Stadium,0,32,12,16.0
A Mishra,MA Chidambaram Stadium,11,152,144,6.333333333333333
A Mishra,Maharashtra Cricket Association Stadium,9,94,90,6.266666666666667
A Mishra,Narendra Modi Stadium,1,27,18,9.0
A Mishra,Nehru Stadium,1,12,24,3.0
A Mishra,New Wanderers Stadium,3,38,42,5.428571428571429
A Mishra,OUTsurance Oval,3,33,24,8.25
A Mishra,Punjab Cricket Association IS Bindra Stadium,0,115,66,10.454545454545455
A Mishra,Punjab Cricket Association Stadium,2,74,54,8.222222222222221
A Mishra,Rajiv Gandhi International Stadium,33,706,578,7.328719723183391
A Mishra,Sardar Patel Stadium,2,47,48,5.875
A Mishra,Saurashtra Cricket Association Stadium,1,19,18,6.333333333333333
A Mishra,Sawai Mansingh Stadium,5,122,83,8.819277108433734
A Mishra,Shaheed Veer Narayan Singh International Stadium,1,88,60,8.8
A Mishra,Sharjah Cricket Stadium,3,97,57,10.210526315789474
A Mishra,Sheikh Zayed Stadium,4,61,48,7.625
A Mishra,St George's Park,1,19,24,4.75
A Mishra,Subrata Roy Sahara Stadium,0,25,18,8.333333333333334
A Mishra,SuperSport Park,7,127,97,7.855670103092783
A Mishra,Wankhede Stadium,6,190,156,7.3076923076923075
A Mithun,Feroz Shah Kotla,3,76,42,10.857142857142858
A Mithun,Himachal Pradesh Cricket Association Stadium,0,29,18,9.666666666666666
A Mithun,JSCA International Stadium Complex,1,37,24,9.25
A Mithun,M Chinnaswamy Stadium,3,189,132,8.590909090909092
A Mithun,MA Chidambaram Stadium,0,48,24,12.0
A Mithun,Nehru Stadium,0,19,6,19.0
A Mithun,St George's Park,0,42,24,10.5
A Mithun,Wankhede Stadium,1,32,18,10.666666666666666
A Nehra,Barabati Stadium,1,41,24,10.25
A Nehra,Brabourne Stadium,3,64,48,8.0
A Nehra,Buffalo Park,2,27,24,6.75
A Nehra,Dr DY Patil Sports Academy,6,57,54,6.333333333333333
A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,44,42,6.285714285714286
A Nehra,Eden Gardens,3,141,96,8.8125
A Nehra,Feroz Shah Kotla,6,159,125,7.632000000000001
A Nehra,Himachal Pradesh Cricket Association Stadium,2,38,24,9.5
A Nehra,JSCA International Stadium Complex,3,28,24,7.0
A Nehra,Kingsmead,4,103,72,8.583333333333334
A Nehra,M Chinnaswamy Stadium,9,139,103,8.097087378640776
A Nehra,MA Chidambaram Stadium,19,324,258,7.534883720930233
A Nehra,New Wanderers Stadium,6,77,72,6.416666666666667
A Nehra,OUTsurance Oval,2,14,42,2.0
A Nehra,Punjab Cricket Association IS Bindra Stadium,3,77,41,11.26829268292683
A Nehra,Punjab Cricket Association Stadium,3,61,54,6.777777777777778
A Nehra,Rajiv Gandhi International Stadium,10,247,199,7.4472361809045236
A Nehra,Sardar Patel Stadium,0,32,24,8.0
A Nehra,Sawai Mansingh Stadium,4,41,42,5.857142857142857
A Nehra,Shaheed Veer Narayan Singh International Stadium,1,64,48,8.0
A Nehra,Sheikh Zayed Stadium,1,24,18,8.0
A Nehra,St George's Park,3,34,24,8.5
A Nehra,Subrata Roy Sahara Stadium,5,213,150,8.52
A Nehra,SuperSport Park,5,91,72,7.583333333333333
A Nehra,Wankhede Stadium,11,324,204,9.529411764705882
A Nel,Feroz Shah Kotla,1,31,18,10.333333333333334
A Nortje,Arun Jaitley Stadium,5,181,120,9.05
A Nortje,Barsapara Cricket Stadium,0,44,24,11.0
A Nortje,Brabourne Stadium,1,35,24,8.75
A Nortje,Dr DY Patil Sports Academy,6,145,86,10.116279069767442
A Nortje,Dubai International Cricket Stadium,17,317,246,7.7317073170731705
A Nortje,Himachal Pradesh Cricket Association Stadium,3,36,24,9.0
A Nortje,M Chinnaswamy Stadium,0,31,24,7.75
A Nortje,Narendra Modi Stadium,1,39,24,9.75
A Nortje,Rajiv Gandhi International Stadium,2,33,24,8.25
A Nortje,Sharjah Cricket Stadium,10,167,134,7.477611940298508
A Nortje,Sheikh Zayed Stadium,6,164,120,8.2
A Nortje,Wankhede Stadium,2,37,24,9.25
A Nortje,Zayed Cricket Stadium,2,18,24,4.5
A Singh,De Beers Diamond Oval,1,25,18,8.333333333333334
A Singh,Eden Gardens,2,36,30,7.2
A Singh,Feroz Shah Kotla,2,41,24,10.25
A Singh,Kingsmead,4,28,45,3.7333333333333334
A Singh,M Chinnaswamy Stadium,2,43,23,11.217391304347826
A Singh,MA Chidambaram Stadium,0,45,24,11.25
A Singh,OUTsurance Oval,0,23,18,7.666666666666667
A Singh,Rajiv Gandhi International Stadium,3,35,24,8.75
A Singh,Sawai Mansingh Stadium,10,276,207,8.0
A Singh,SuperSport Park,4,19,24,4.75
A Singh,Wankhede Stadium,3,49,36,8.166666666666666
A Symonds,Barabati Stadium,4,43,48,5.375
A Symonds,Brabourne Stadium,0,32,24,8.0
A Symonds,De Beers Diamond Oval,0,50,30,10.0
A Symonds,Dr DY Patil Sports Academy,1,108,96,6.75
A Symonds,Eden Gardens,2,46,36,7.666666666666667
A Symonds,Feroz Shah Kotla,0,8,12,4.0
A Symonds,Himachal Pradesh Cricket Association Stadium,0,16,12,8.0
A Symonds,Kingsmead,1,19,18,6.333333333333333
A Symonds,M Chinnaswamy Stadium,1,34,18,11.333333333333334
A Symonds,MA Chidambaram Stadium,2,29,18,9.666666666666666
A Symonds,New Wanderers Stadium,6,56,54,6.222222222222222
A Symonds,Rajiv Gandhi International Stadium,0,81,29,16.758620689655174
A Symonds,Sardar Patel Stadium,1,9,12,4.5
A Symonds,SuperSport Park,2,35,42,5.0
A Symonds,Vidarbha Cricket Association Stadium,2,74,60,7.4
A Symonds,Wankhede Stadium,1,34,18,11.333333333333334
A Uniyal,Brabourne Stadium,3,41,24,10.25
A Uniyal,Sardar Patel Stadium,0,25,12,12.5
A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,10,72,72,6.0
A Zampa,Eden Gardens,0,8,6,8.0
A Zampa,Feroz Shah Kotla,1,29,24,7.25
A Zampa,Himachal Pradesh Cricket Association Stadium,1,26,24,6.5
A Zampa,M Chinnaswamy Stadium,2,35,24,8.75
A Zampa,MA Chidambaram Stadium,1,43,24,10.75
A Zampa,Maharashtra Cricket Association Stadium,4,93,65,8.584615384615384
A Zampa,Narendra Modi Stadium,2,32,24,8.0
A Zampa,Rajiv Gandhi International Stadium,2,32,24,8.0
A Zampa,Sawai Mansingh Stadium,5,87,60,8.7
A Zampa,Sheikh Zayed Stadium,1,39,42,5.571428571428571
A Zampa,Wankhede Stadium,0,9,6,9.0
AA Chavan,Eden Gardens,1,60,38,9.473684210526317
AA Chavan,Feroz Shah Kotla,1,31,24,7.75
AA Chavan,Holkar Cricket Stadium,0,10,6,10.0
AA Chavan,Punjab Cricket Association Stadium,0,32,18,10.666666666666666
AA Chavan,Sawai Mansingh Stadium,5,90,84,6.428571428571429
AA Chavan,Subrata Roy Sahara Stadium,0,20,12,10.0
AA Chavan,Wankhede Stadium,1,83,66,7.545454545454546
AA Jhunjhunwala,Brabourne Stadium,0,27,12,13.5
AA Jhunjhunwala,Dr DY Patil Sports Academy,0,11,6,11.0
AA Jhunjhunwala,MA Chidambaram Stadium,1,31,30,6.2
AA Jhunjhunwala,Punjab Cricket Association Stadium,0,24,12,12.0
AA Jhunjhunwala,Rajiv Gandhi International Stadium,0,12,12,6.0
AA Jhunjhunwala,Sardar Patel Stadium,0,18,7,15.428571428571427
AA Jhunjhunwala,Sawai Mansingh Stadium,0,6,6,6.0
AA Kazi,Sawai Mansingh Stadium,1,21,12,10.5
AA Noffke,M Chinnaswamy Stadium,1,40,24,10.0
AB Agarkar,Buffalo Park,1,12,6,12.0
AB Agarkar,Eden Gardens,5,188,132,8.545454545454545
AB Agarkar,Feroz Shah Kotla,5,302,192,9.4375
AB Agarkar,Kingsmead,4,62,54,6.888888888888889
AB Agarkar,M Chinnaswamy Stadium,3,54,42,7.714285714285714
AB Agarkar,MA Chidambaram Stadium,2,82,54,9.11111111111111
AB Agarkar,Nehru Stadium,2,23,24,5.75
AB Agarkar,New Wanderers Stadium,1,60,42,8.571428571428571
AB Agarkar,Newlands,0,17,6,17.0
AB Agarkar,Punjab Cricket Association Stadium,2,58,42,8.285714285714286
AB Agarkar,Rajiv Gandhi International Stadium,2,29,24,7.25
AB Agarkar,Sawai Mansingh Stadium,1,68,36,11.333333333333334
AB Agarkar,St George's Park,1,29,24,7.25
AB Agarkar,SuperSport Park,1,90,48,11.25
AB Agarkar,Wankhede Stadium,3,63,50,7.56
AB Dinda,Buffalo Park,1,27,18,9.0
AB Dinda,Dr DY Patil Sports Academy,2,42,24,10.5
AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,62,66,5.636363636363637
AB Dinda,Dubai International Cricket Stadium,2,33,42,4.714285714285714
AB Dinda,Eden Gardens,14,283,246,6.902439024390244
AB Dinda,Feroz Shah Kotla,3,110,81,8.148148148148149
AB Dinda,Holkar Cricket Stadium,1,26,18,8.666666666666666
AB Dinda,Kingsmead,2,63,60,6.3
AB Dinda,M Chinnaswamy Stadium,9,202,148,8.18918918918919
AB Dinda,MA Chidambaram Stadium,2,84,54,9.333333333333334
AB Dinda,Maharashtra Cricket Association Stadium,7,191,108,10.61111111111111
AB Dinda,Newlands,2,24,18,8.0
AB Dinda,Punjab Cricket Association Stadium,2,98,72,8.166666666666666
AB Dinda,Rajiv Gandhi International Stadium,9,108,84,7.714285714285714
AB Dinda,Sardar Patel Stadium,2,28,24,7.0
AB Dinda,Sawai Mansingh Stadium,1,64,45,8.533333333333333
AB Dinda,Shaheed Veer Narayan Singh International Stadium,3,31,24,7.75
AB Dinda,Sharjah Cricket Stadium,0,77,48,9.625
AB Dinda,Sheikh Zayed Stadium,0,8,12,4.0
AB Dinda,St George's Park,0,50,24,12.5
AB Dinda,Subrata Roy Sahara Stadium,10,275,192,8.59375
AB Dinda,SuperSport Park,1,29,24,7.25
AB Dinda,Wankhede Stadium,5,119,66,10.818181818181818
AB McDonald,Brabourne Stadium,1,42,24,10.5
AB McDonald,Feroz Shah Kotla,3,54,36,9.0
AB McDonald,M Chinnaswamy Stadium,7,78,60,7.8
AB McDonald,MA Chidambaram Stadium,0,23,12,11.5
AB McDonald,New Wanderers Stadium,0,22,18,7.333333333333333
AB McDonald,Punjab Cricket Association Stadium,2,25,24,6.25
AC Gilchrist,Himachal Pradesh Cricket Association Stadium,1,0,1,0.0
AC Thomas,Dr DY Patil Sports Academy,5,186,117,9.538461538461538
AC Thomas,Feroz Shah Kotla,3,22,24,5.5
AC Thomas,M Chinnaswamy Stadium,2,23,24,5.75
AC Thomas,MA Chidambaram Stadium,2,29,24,7.25
AC Thomas,Sawai Mansingh Stadium,1,28,24,7.0
AC Thomas,Subrata Roy Sahara Stadium,2,87,60,8.7
AC Thomas,Wankhede Stadium,1,16,24,4.0
AC Voges,Eden Gardens,0,16,6,16.0
AC Voges,Feroz Shah Kotla,0,9,6,9.0
AC Voges,Punjab Cricket Association Stadium,0,12,12,6.0
AC Voges,Sardar Patel Stadium,1,22,24,5.5
AC Voges,Sawai Mansingh Stadium,0,17,6,17.0
AD Mascarenhas,Brabourne Stadium,2,34,24,8.5
AD Mascarenhas,Eden Gardens,1,34,24,8.5
AD Mascarenhas,Newlands,3,49,48,6.125
AD Mascarenhas,Punjab Cricket Association Stadium,5,48,48,6.0
AD Mascarenhas,Rajiv Gandhi International Stadium,0,25,24,6.25
AD Mascarenhas,Sardar Patel Stadium,2,31,24,7.75
AD Mascarenhas,Sawai Mansingh Stadium,2,29,24,7.25
AD Mascarenhas,Subrata Roy Sahara Stadium,1,23,24,5.75
AD Mascarenhas,SuperSport Park,2,54,44,7.363636363636364
AD Mathews,Brabourne Stadium,1,56,45,7.466666666666667
AD Mathews,Dr DY Patil Sports Academy,1,27,24,6.75
AD Mathews,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,38,24,9.5
AD Mathews,Eden Gardens,7,178,138,7.739130434782608
AD Mathews,Feroz Shah Kotla,3,170,114,8.947368421052632
AD Mathews,JSCA International Stadium Complex,1,25,18,8.333333333333334
AD Mathews,M Chinnaswamy Stadium,2,60,42,8.571428571428571
AD Mathews,MA Chidambaram Stadium,0,27,12,13.5
AD Mathews,Maharashtra Cricket Association Stadium,1,52,42,7.428571428571429
AD Mathews,Punjab Cricket Association Stadium,2,46,42,6.571428571428571
AD Mathews,Rajiv Gandhi International Stadium,0,57,30,11.4
AD Mathews,Sardar Patel Stadium,0,33,18,11.0
AD Mathews,Sawai Mansingh Stadium,2,63,42,9.0
AD Mathews,Subrata Roy Sahara Stadium,6,154,138,6.695652173913044
AD Mathews,SuperSport Park,0,31,14,13.285714285714285
AD Mathews,Wankhede Stadium,1,62,48,7.75
AD Russell,Arun Jaitley Stadium,1,40,24,10.0
AD Russell,Brabourne Stadium,7,97,60,9.7
AD Russell,Dr DY Patil Sports Academy,8,108,53,12.226415094339622
AD Russell,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,6,6,6.0
AD Russell,Eden Gardens,33,773,525,8.834285714285715
AD Russell,Feroz Shah Kotla,4,132,90,8.8
AD Russell,Himachal Pradesh Cricket Association Stadium,1,51,24,12.75
AD Russell,Holkar Cricket Stadium,3,41,24,10.25
AD Russell,JSCA International Stadium Complex,1,25,12,12.5
AD Russell,M Chinnaswamy Stadium,4,75,58,7.758620689655173
AD Russell,M.Chinnaswamy Stadium,3,47,24,11.75
AD Russell,MA Chidambaram Stadium,8,176,114,9.263157894736842
AD Russell,Maharashtra Cricket Association Stadium,7,108,84,7.714285714285714
AD Russell,Narendra Modi Stadium,0,2,6,2.0
AD Russell,Punjab Cricket Association IS Bindra Stadium,1,47,24,11.75
AD Russell,Rajiv Gandhi International Stadium,4,112,78,8.615384615384615
AD Russell,Sardar Patel Stadium,1,27,18,9.0
AD Russell,Sharjah Cricket Stadium,3,80,48,10.0
AD Russell,Sheikh Zayed Stadium,4,66,48,8.25
AD Russell,Wankhede Stadium,7,207,117,10.615384615384615
AD Russell,Zayed Cricket Stadium,4,74,54,8.222222222222221
AF Milne,Dubai International Cricket Stadium,4,69,48,8.625
AF Milne,M Chinnaswamy Stadium,4,70,48,8.75
AF Milne,MA Chidambaram Stadium,0,33,18,11.0
AF Milne,Maharashtra Cricket Association Stadium,0,35,24,8.75
AF Milne,Saurashtra Cricket Association Stadium,1,43,24,10.75
AF Milne,Wankhede Stadium,0,48,27,10.666666666666666
AF Milne,Zayed Cricket Stadium,0,29,18,9.666666666666666
AG Murtaza,Brabourne Stadium,4,64,48,8.0
AG Murtaza,Eden Gardens,0,27,24,6.75
AG Murtaza,Feroz Shah Kotla,3,21,24,5.25
AG Murtaza,JSCA International Stadium Complex,0,34,24,8.5
AG Murtaza,M Chinnaswamy Stadium,0,71,36,11.833333333333334
AG Murtaza,Sawai Mansingh Stadium,0,15,24,3.75
AG Murtaza,Subrata Roy Sahara Stadium,3,26,36,4.333333333333333
AG Murtaza,Wankhede Stadium,2,55,48,6.875
AJ Finch,Eden Gardens,0,5,7,4.285714285714286
AJ Finch,Feroz Shah Kotla,0,13,12,6.5
AJ Finch,M Chinnaswamy Stadium,0,29,6,29.0
AJ Finch,MA Chidambaram Stadium,0,9,6,9.0
AJ Finch,Wankhede Stadium,1,11,12,5.5
AJ Hosein,Arun Jaitley Stadium,1,40,24,10.0
AJ Tye,Arun Jaitley Stadium,2,25,24,6.25
AJ Tye,Brabourne Stadium,3,40,24,10.0
AJ Tye,Dr DY Patil Sports Academy,0,67,42,9.571428571428571
AJ Tye,Eden Gardens,3,67,48,8.375
AJ Tye,Holkar Cricket Stadium,8,133,96,8.3125
AJ Tye,M Chinnaswamy Stadium,3,12,24,3.0
AJ Tye,M.Chinnaswamy Stadium,2,27,24,6.75
AJ Tye,MA Chidambaram Stadium,0,38,24,9.5
AJ Tye,Maharashtra Cricket Association Stadium,0,47,24,11.75
AJ Tye,Punjab Cricket Association IS Bindra Stadium,7,266,156,10.23076923076923
AJ Tye,Rajiv Gandhi International Stadium,0,28,24,7.0
AJ Tye,Saurashtra Cricket Association Stadium,7,86,72,7.166666666666667
AJ Tye,Sawai Mansingh Stadium,5,34,24,8.5
AJ Tye,Sharjah Cricket Stadium,2,54,24,13.5
AJ Tye,Wankhede Stadium,6,50,48,6.25
AK Markram,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,14,12,7.0
AK Markram,Brabourne Stadium,0,11,6,11.0
AK Markram,Dr DY Patil Sports Academy,1,17,12,8.5
AK Markram,MA Chidambaram Stadium,0,11,6,11.0
AK Markram,Maharashtra Cricket Association Stadium,0,36,18,12.0
AK Markram,Narendra Modi Stadium,0,13,6,13.0
AK Markram,Rajiv Gandhi International Stadium,1,31,24,7.75
AK Markram,Sharjah Cricket Stadium,0,5,6,5.0
AK Markram,Wankhede Stadium,0,1,1,6.0
AK Markram,Zayed Cricket Stadium,0,18,18,6.0
AL Menaria,Eden Gardens,1,3,6,3.0
AL Menaria,MA Chidambaram Stadium,0,23,18,7.666666666666667
AL Menaria,Punjab Cricket Association Stadium,0,7,6,7.0
AL Menaria,Rajiv Gandhi International Stadium,0,8,6,8.0
AL Menaria,Sawai Mansingh Stadium,2,91,68,8.029411764705882
AL Menaria,Wankhede Stadium,0,12,6,12.0
AM Nayar,Buffalo Park,1,20,18,6.666666666666667
AM Nayar,Dr DY Patil Sports Academy,1,49,25,11.76
AM Nayar,Feroz Shah Kotla,1,22,12,11.0
AM Nayar,M Chinnaswamy Stadium,0,25,12,12.5
AM Nayar,MA Chidambaram Stadium,1,35,24,8.75
AM Nayar,New Wanderers Stadium,0,26,24,6.5
AM Nayar,Punjab Cricket Association Stadium,0,27,18,9.0
AM Nayar,Rajiv Gandhi International Stadium,1,28,24,7.0
AM Nayar,Sawai Mansingh Stadium,0,4,6,4.0
AM Nayar,Shaheed Veer Narayan Singh International Stadium,1,15,12,7.5
AM Nayar,St George's Park,3,13,18,4.333333333333333
AM Nayar,Subrata Roy Sahara Stadium,0,23,18,7.666666666666667
AM Nayar,SuperSport Park,0,25,12,12.5
AM Nayar,Wankhede Stadium,0,10,6,10.0
AM Rahane,SuperSport Park,1,5,6,5.0
AM Salvi,Himachal Pradesh Cricket Association Stadium,2,40,24,10.0
AM Salvi,Kingsmead,0,41,18,13.666666666666666
AM Salvi,New Wanderers Stadium,0,30,24,7.5
AM Salvi,Newlands,1,17,12,8.5
AM Salvi,OUTsurance Oval,2,19,24,4.75
AM Salvi,Rajiv Gandhi International Stadium,1,26,24,6.5
AM Salvi,SuperSport Park,1,27,24,6.75
AN Ahmed,Eden Gardens,5,93,72,7.75
AN Ahmed,JSCA International Stadium Complex,1,18,24,4.5
AN Ahmed,M Chinnaswamy Stadium,2,140,72,11.666666666666666
AN Ahmed,MA Chidambaram Stadium,1,99,48,12.375
AN Ahmed,Rajiv Gandhi International Stadium,1,49,38,7.736842105263158
AN Ahmed,Subrata Roy Sahara Stadium,2,27,24,6.75
AN Ahmed,Wankhede Stadium,3,72,66,6.545454545454546
AP Dole,Sawai Mansingh Stadium,3,70,42,10.0
AP Dole,Vidarbha Cricket Association Stadium,2,42,24,10.5
AR Patel,Arun Jaitley Stadium,11,253,264,5.75
AR Patel,Barabati Stadium,0,48,48,6.0
AR Patel,Barsapara Cricket Stadium,0,38,24,9.5
AR Patel,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,38,24,9.5
AR Patel,Brabourne Stadium,2,82,66,7.454545454545454
AR Patel,Dr DY Patil Sports Academy,2,73,66,6.636363636363637
AR Patel,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,135,96,8.4375
AR Patel,Dubai International Cricket Stadium,12,286,264,6.5
AR Patel,Eden Gardens,4,134,120,6.7
AR Patel,Feroz Shah Kotla,3,99,83,7.156626506024096
AR Patel,Himachal Pradesh Cricket Association Stadium,1,27,18,9.0
AR Patel,Holkar Cricket Stadium,3,141,114,7.421052631578948
AR Patel,M Chinnaswamy Stadium,8,175,126,8.333333333333334
AR Patel,M.Chinnaswamy Stadium,2,47,48,5.875
AR Patel,MA Chidambaram Stadium,4,93,66,8.454545454545455
AR Patel,Maharashtra Cricket Association Stadium,4,162,119,8.168067226890757
AR Patel,Narendra Modi Stadium,5,110,96,6.875
AR Patel,Punjab Cricket Association IS Bindra Stadium,8,336,246,8.195121951219512
AR Patel,Punjab Cricket Association Stadium,10,167,144,6.958333333333333
AR Patel,Rajiv Gandhi International Stadium,4,147,107,8.242990654205608
AR Patel,Saurashtra Cricket Association Stadium,6,57,48,7.125
AR Patel,Sawai Mansingh Stadium,1,63,42,9.0
AR Patel,Sharjah Cricket Stadium,7,139,150,5.56
AR Patel,Sheikh Zayed Stadium,5,158,132,7.181818181818182
AR Patel,Wankhede Stadium,8,316,228,8.31578947368421
AR Patel,Zayed Cricket Stadium,1,27,24,6.75
AS Joseph,Arun Jaitley Stadium,2,29,24,7.25
AS Joseph,Brabourne Stadium,2,83,48,10.375
AS Joseph,Dr DY Patil Sports Academy,1,56,42,8.0
AS Joseph,Eden Gardens,0,27,12,13.5
AS Joseph,Maharashtra Cricket Association Stadium,2,48,36,8.0
AS Joseph,Narendra Modi Stadium,4,112,72,9.333333333333334
AS Joseph,Punjab Cricket Association IS Bindra Stadium,1,32,24,8.0
AS Joseph,Rajiv Gandhi International Stadium,6,12,22,3.272727272727273
AS Joseph,Wankhede Stadium,3,177,96,11.0625
AS Rajpoot,Arun Jaitley Stadium,2,23,24,5.75
AS Rajpoot,Dubai International Cricket Stadium,1,50,30,10.0
AS Rajpoot,Eden Gardens,3,109,84,7.785714285714286
AS Rajpoot,Green Park,1,35,18,11.666666666666666
AS Rajpoot,Holkar Cricket Stadium,1,89,43,12.41860465116279
AS Rajpoot,M Chinnaswamy Stadium,0,39,30,7.8
AS Rajpoot,M.Chinnaswamy Stadium,0,46,24,11.5
AS Rajpoot,MA Chidambaram Stadium,1,25,18,8.333333333333334
AS Rajpoot,Maharashtra Cricket Association Stadium,2,19,24,4.75
AS Rajpoot,Punjab Cricket Association IS Bindra Stadium,0,38,36,6.333333333333333
AS Rajpoot,Punjab Cricket Association Stadium,0,10,6,10.0
AS Rajpoot,Rajiv Gandhi International Stadium,5,14,24,3.5
AS Rajpoot,Sawai Mansingh Stadium,2,33,24,8.25
AS Rajpoot,Sharjah Cricket Stadium,1,40,24,10.0
AS Rajpoot,Sheikh Zayed Stadium,0,110,48,13.75
AS Rajpoot,Wankhede Stadium,5,135,72,11.25
AS Raut,De Beers Diamond Oval,0,13,6,13.0
AS Raut,OUTsurance Oval,0,10,6,10.0
AS Raut,Punjab Cricket Association Stadium,0,8,6,8.0
AS Raut,St George's Park,0,7,6,7.0
AS Raut,SuperSport Park,0,6,6,6.0
AS Roy,Arun Jaitley Stadium,2,19,24,4.75
AS Roy,Eden Gardens,0,20,6,20.0
AS Roy,MA Chidambaram Stadium,1,11,12,5.5
AS Roy,Maharashtra Cricket Association Stadium,0,27,18,9.0
AS Roy,Rajiv Gandhi International Stadium,1,26,18,8.666666666666666
AS Roy,Wankhede Stadium,1,28,24,7.0
AU Rashid,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2,23,18,7.666666666666667
AU Rashid,Dubai International Cricket Stadium,0,35,18,11.666666666666666
AU Rashid,Rajiv Gandhi International Stadium,0,33,24,8.25
AUK Pathan,M Chinnaswamy Stadium,0,44,27,9.777777777777779
AUK Pathan,Nehru Stadium,0,19,12,9.5
Abdul Samad,Dr DY Patil Sports Academy,0,8,6,8.0
Abdul Samad,Dubai International Cricket Stadium,1,69,30,13.8
Abdul Samad,Sharjah Cricket Stadium,1,36,18,12.0
Abdur Razzak,Sawai Mansingh Stadium,0,29,12,14.5
Abhishek Sharma,Arun Jaitley Stadium,1,26,18,8.666666666666666
Abhishek Sharma,Dubai International Cricket Stadium,2,54,36,9.0
Abhishek Sharma,MA Chidambaram Stadium,2,29,30,5.8
Abhishek Sharma,Maharashtra Cricket Association Stadium,0,15,6,15.0
Abhishek Sharma,Narendra Modi Stadium,0,13,6,13.0
Abhishek Sharma,Rajiv Gandhi International Stadium,2,91,48,11.375
Abhishek Sharma,Sawai Mansingh Stadium,0,15,12,7.5
