Batter,Venue,total_runs,balls_faced,strike_rate
Abhishek Sharma,Arun Jaitley Stadium,130,69,188.40579710144928
Abhishek Sharma,Brabourne Stadium,57,44,129.54545454545453
Abhishek Sharma,Dr DY Patil Sports Academy,161,118,136.44067796610167
Abhishek Sharma,Dubai International Cricket Stadium,77,60,128.33333333333334
Abhishek Sharma,Eden Gardens,32,17,188.23529411764704
Abhishek Sharma,MA Chidambaram Stadium,36,30,120.0
Abhishek Sharma,Maharashtra Cricket Association Stadium,91,70,130.0
Abhishek Sharma,Narendra Modi Stadium,5,5,100.0
Abhishek Sharma,Rajiv Gandhi International Stadium,40,44,90.9090909090909
Abhishek Sharma,Sawai Mansingh Stadium,55,34,161.76470588235296
Abhishek Sharma,Sharjah Cricket Stadium,36,31,116.12903225806453
Abhishek Sharma,Sheikh Zayed Stadium,3,4,75.0
Abhishek Sharma,Wankhede Stadium,117,87,134.48275862068965
Abhishek Sharma,Zayed Cricket Stadium,46,26,176.9230769230769
Abishek Porel,Arun Jaitley Stadium,21,14,150.0
Abishek Porel,Barsapara Cricket Stadium,7,9,77.77777777777779
Abishek Porel,M Chinnaswamy Stadium,5,8,62.5
Akash Deep,Dr DY Patil Sports Academy,0,2,0.0
Akash Deep,Eden Gardens,17,8,212.5
Aman Hakim Khan,Arun Jaitley Stadium,31,37,83.78378378378379
Aman Hakim Khan,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,4,5,80.0
Aman Hakim Khan,Brabourne Stadium,5,3,166.66666666666669
Aman Hakim Khan,M Chinnaswamy Stadium,18,10,180.0
Aman Hakim Khan,MA Chidambaram Stadium,2,3,66.66666666666666
Aman Hakim Khan,Narendra Modi Stadium,51,44,115.90909090909092
Aman Hakim Khan,Rajiv Gandhi International Stadium,4,2,200.0
Anirudh Singh,Barabati Stadium,0,1,0.0
Anirudh Singh,Dr DY Patil Sports Academy,54,53,101.88679245283019
Anirudh Singh,Vidarbha Cricket Association Stadium,9,12,75.0
Ankit Sharma,Barabati Stadium,1,2,50.0
Ankit Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16,10,160.0
Ankit Sharma,Feroz Shah Kotla,1,1,100.0
Ankit Sharma,JSCA International Stadium Complex,30,27,111.11111111111111
Ankit Sharma,MA Chidambaram Stadium,0,1,0.0
Ankit Sharma,Maharashtra Cricket Association Stadium,10,8,125.0
Ankit Sharma,Sardar Patel Stadium,4,3,133.33333333333331
Ankit Sharma,Saurashtra Cricket Association Stadium,25,15,166.66666666666669
Ankit Soni,Green Park,0,6,0.0
Ankit Soni,Maharashtra Cricket Association Stadium,0,1,0.0
Anmolpreet Singh,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,31,26,119.23076923076923
Anmolpreet Singh,Brabourne Stadium,8,9,88.88888888888889
Anmolpreet Singh,Dr DY Patil Sports Academy,5,4,125.0
Anmolpreet Singh,Dubai International Cricket Stadium,16,14,114.28571428571428
Anmolpreet Singh,Narendra Modi Stadium,5,4,125.0
Anmolpreet Singh,Rajiv Gandhi International Stadium,36,27,133.33333333333331
Anmolpreet Singh,Sawai Mansingh Stadium,33,25,132.0
Anuj Rawat,Arun Jaitley Stadium,8,3,266.66666666666663
Anuj Rawat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,9,11,81.81818181818183
Anuj Rawat,Brabourne Stadium,0,2,0.0
Anuj Rawat,Dr DY Patil Sports Academy,37,43,86.04651162790698
Anuj Rawat,Eden Gardens,1,5,20.0
Anuj Rawat,M Chinnaswamy Stadium,38,37,102.7027027027027
Anuj Rawat,Maharashtra Cricket Association Stadium,66,47,140.4255319148936
Anuj Rawat,Sawai Mansingh Stadium,29,11,263.6363636363636
Anuj Rawat,Sharjah Cricket Stadium,0,1,0.0
Anuj Rawat,Wankhede Stadium,32,30,106.66666666666667
Anureet Singh,Eden Gardens,3,4,75.0
Anureet Singh,Feroz Shah Kotla,8,3,266.66666666666663
Anureet Singh,M Chinnaswamy Stadium,0,2,0.0
Anureet Singh,MA Chidambaram Stadium,10,20,50.0
Anureet Singh,Maharashtra Cricket Association Stadium,0,4,0.0
Anureet Singh,Punjab Cricket Association IS Bindra Stadium,15,12,125.0
Anureet Singh,Punjab Cricket Association Stadium,0,2,0.0
Arjun Tendulkar,Narendra Modi Stadium,13,9,144.44444444444443
Arshad Khan,M Chinnaswamy Stadium,15,9,166.66666666666669
Arshad Khan,MA Chidambaram Stadium,1,2,50.0
Arshad Khan,Wankhede Stadium,2,4,50.0
Arshdeep Singh,Brabourne Stadium,19,22,86.36363636363636
Arshdeep Singh,Dr DY Patil Sports Academy,2,4,50.0
Arshdeep Singh,Dubai International Cricket Stadium,0,3,0.0
Arshdeep Singh,MA Chidambaram Stadium,1,2,50.0
Arshdeep Singh,Maharashtra Cricket Association Stadium,0,2,0.0
Arshdeep Singh,Narendra Modi Stadium,1,1,100.0
Arshdeep Singh,Punjab Cricket Association IS Bindra Stadium,2,2,100.0
Arshdeep Singh,Wankhede Stadium,0,1,0.0
Atharva Taide,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,3,0.0
Atharva Taide,Himachal Pradesh Cricket Association Stadium,74,54,137.03703703703704
Atharva Taide,MA Chidambaram Stadium,13,17,76.47058823529412
Atharva Taide,Punjab Cricket Association IS Bindra Stadium,70,38,184.21052631578948
Atharva Taide,Wankhede Stadium,29,17,170.58823529411765
Avesh Khan,Brabourne Stadium,1,2,50.0
Avesh Khan,M Chinnaswamy Stadium,0,1,0.0
Avesh Khan,Maharashtra Cricket Association Stadium,14,9,155.55555555555557
Avesh Khan,Punjab Cricket Association IS Bindra Stadium,4,3,133.33333333333331
Avesh Khan,Sharjah Cricket Stadium,5,3,166.66666666666669
Avesh Khan,Wankhede Stadium,7,2,350.0
Azhar Mahmood,Brabourne Stadium,6,7,85.71428571428571
Azhar Mahmood,Eden Gardens,2,7,28.57142857142857
Azhar Mahmood,Feroz Shah Kotla,9,7,128.57142857142858
Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,134,102,131.37254901960785
Azhar Mahmood,M Chinnaswamy Stadium,63,45,140.0
Azhar Mahmood,MA Chidambaram Stadium,18,12,150.0
Azhar Mahmood,Punjab Cricket Association Stadium,96,70,137.14285714285714
Azhar Mahmood,Rajiv Gandhi International Stadium,18,13,138.46153846153845
Azhar Mahmood,Sawai Mansingh Stadium,23,20,114.99999999999999
Azhar Mahmood,Wankhede Stadium,19,20,95.0
B Akhil,Kingsmead,0,2,0.0
B Akhil,M Chinnaswamy Stadium,10,12,83.33333333333334
B Akhil,MA Chidambaram Stadium,6,7,85.71428571428571
B Akhil,Nehru Stadium,13,9,144.44444444444443
B Akhil,Newlands,9,9,100.0
B Akhil,Rajiv Gandhi International Stadium,27,7,385.7142857142857
B Akhil,St George's Park,8,4,200.0
B Akhil,Wankhede Stadium,3,5,60.0
B Chipli,Dr DY Patil Sports Academy,5,4,125.0
B Chipli,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,15,73.33333333333333
B Chipli,Eden Gardens,48,40,120.0
B Chipli,Feroz Shah Kotla,30,20,150.0
B Chipli,M Chinnaswamy Stadium,20,28,71.42857142857143
B Chipli,MA Chidambaram Stadium,17,15,113.33333333333333
B Chipli,Nehru Stadium,4,10,40.0
B Chipli,Rajiv Gandhi International Stadium,118,87,135.63218390804596
B Chipli,Subrata Roy Sahara Stadium,16,17,94.11764705882352
B Chipli,Wankhede Stadium,11,14,78.57142857142857
B Indrajith,Maharashtra Cricket Association Stadium,0,6,0.0
B Indrajith,Wankhede Stadium,21,24,87.5
B Kumar,Arun Jaitley Stadium,14,10,140.0
B Kumar,Brabourne Stadium,5,3,166.66666666666669
B Kumar,Dr DY Patil Sports Academy,2,3,66.66666666666666
B Kumar,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,2,50.0
B Kumar,Dubai International Cricket Stadium,12,12,100.0
B Kumar,Eden Gardens,32,17,188.23529411764704
B Kumar,Feroz Shah Kotla,1,2,50.0
B Kumar,M Chinnaswamy Stadium,7,13,53.84615384615385
B Kumar,M.Chinnaswamy Stadium,7,5,140.0
B Kumar,MA Chidambaram Stadium,5,8,62.5
B Kumar,Maharashtra Cricket Association Stadium,9,11,81.81818181818183
B Kumar,Narendra Modi Stadium,27,26,103.84615384615385
B Kumar,Rajiv Gandhi International Stadium,45,51,88.23529411764706
B Kumar,Sardar Patel Stadium,0,1,0.0
B Kumar,Sawai Mansingh Stadium,4,9,44.44444444444444
B Kumar,Shaheed Veer Narayan Singh International Stadium,13,7,185.71428571428572
B Kumar,Sharjah Cricket Stadium,6,9,66.66666666666666
B Kumar,Subrata Roy Sahara Stadium,59,64,92.1875
B Kumar,Wankhede Stadium,34,43,79.06976744186046
B Laughlin,MA Chidambaram Stadium,0,1,0.0
B Laughlin,Maharashtra Cricket Association Stadium,0,1,0.0
B Laughlin,Rajiv Gandhi International Stadium,1,3,33.33333333333333
B Laughlin,Wankhede Stadium,4,8,50.0
B Lee,Brabourne Stadium,3,3,100.0
B Lee,De Beers Diamond Oval,14,10,140.0
B Lee,Eden Gardens,10,8,125.0
B Lee,Feroz Shah Kotla,1,1,100.0
B Lee,Kingsmead,6,7,85.71428571428571
B Lee,M Chinnaswamy Stadium,8,4,200.0
B Lee,Nehru Stadium,1,2,50.0
B Lee,New Wanderers Stadium,0,5,0.0
B Lee,Punjab Cricket Association Stadium,25,16,156.25
B Lee,Sawai Mansingh Stadium,30,19,157.89473684210526
B Lee,Shaheed Veer Narayan Singh International Stadium,16,6,266.66666666666663
B Lee,SuperSport Park,8,12,66.66666666666666
B Lee,Wankhede Stadium,2,3,66.66666666666666
B Sai Sudharsan,Arun Jaitley Stadium,62,48,129.16666666666669
B Sai Sudharsan,Brabourne Stadium,69,55,125.45454545454547
B Sai Sudharsan,Dr DY Patil Sports Academy,76,58,131.0344827586207
B Sai Sudharsan,Narendra Modi Stadium,281,185,151.8918918918919
B Sai Sudharsan,Punjab Cricket Association IS Bindra Stadium,19,20,95.0
B Stanlake,Rajiv Gandhi International Stadium,5,2,250.0
B Sumanth,Dr DY Patil Sports Academy,16,18,88.88888888888889
B Sumanth,Feroz Shah Kotla,7,12,58.333333333333336
B Sumanth,Himachal Pradesh Cricket Association Stadium,6,3,200.0
B Sumanth,Vidarbha Cricket Association Stadium,6,4,150.0
BA Bhatt,Eden Gardens,6,2,300.0
BA Bhatt,Himachal Pradesh Cricket Association Stadium,0,5,0.0
